model_name,fold,test_subjects,epoch_accuracy,balanced_accuracy,epoch_f1
Always Before,1,311,0.5,0.5,0.0
Always After,1,311,0.5,0.5,0.6666666666666666
Always Before,2,315,0.5025125628140703,0.5,0.0
Always After,2,315,0.49748743718592964,0.5,0.6644295302013423
Always Before,3,340,0.5,0.5,0.0
Always After,3,340,0.5,0.5,0.6666666666666666
Always Before,4,342,0.4897959183673469,0.5,0.0
Always After,4,342,0.5102040816326531,0.5,0.6756756756756757
Always Before,5,346,0.5303030303030303,0.5,0.0
Always After,5,346,0.4696969696969697,0.5,0.6391752577319587
Always Before,6,368,0.47643979057591623,0.5,0.0
Always After,6,368,0.5235602094240838,0.5,0.6872852233676976
Always Before,7,401,0.5325443786982249,0.5,0.0
Always After,7,401,0.46745562130177515,0.5,0.6370967741935484
Always Before,8,421,0.5,0.5,0.0
Always After,8,421,0.5,0.5,0.6666666666666666
Always Before,9,444,0.5,0.5,0.0
Always After,9,444,0.5,0.5,0.6666666666666666
Always Before,10,463,0.5,0.5,0.0
Always After,10,463,0.5,0.5,0.6666666666666666
Always Before,11,999,0.5,0.5,0.0
Always After,11,999,0.5,0.5,0.6666666666666666
